"job_role","job_level","location","actual_base","actual_start_date","time_to_fill","base_low","base_mid","base_high","currency"
"Software Engineer (IC)","IC5","North America",194000,"2023-03-28",42,196000,245000,294000,"USD"
"Software Engineer","IC3","Europe",130000,"2022-02-01",0,,,,"EUR"
"Product Marketing (IC)","IC6","North America",259500,"2023-05-09",73,164800,206000,247200,"USD"
"Product Marketer","IC6","North America",206700,"2023-01-10",0,,,,"USD"
"Product Marketer","IC4","Europe",117342,"2023-05-03",54,,,,"EUR"
"Software Engineer","IC5","North America",290500,"2023-04-25",67,,,,"USD"
"Marketing General, Director","M7","North America",330000,"2023-01-18",0,,,,"USD"
"Marketing General, Director","M7","North America",320000,"2023-01-31",0,,,,"USD"
,"M6","North America",203132.33,"2022-11-29",12,,,,"USD"
"Software Engineer","IC4","Europe",104000,"2023-03-14",15,,,,"EUR"
"Account Executive","IC3","Australia",225000,"2023-01-18",0,,,,"AUD"
"Marketer, General","IC4","North America",163200,"2022-12-20",32,,,,"USD"
"Business Development Representative","IC1","North America",64400,"2022-11-29",0,39776,49720,59664,"USD"
"Business Development Representative","IC1","North America",726141.32,"2022-11-29",0,39776,49720,59664,"USD"
,"IC4","North America",173000,"2022-11-29",11,,,,"USD"
"Director, Business Systems","M6","North America",248745,"2022-09-27",0,,,,"USD"
"Account Executive","IC3","North America",108500,"2022-10-18",0,,,,"USD"
"Account Executive","IC3","North America",108500,"2022-10-18",0,,,,"USD"
,"IC3","North America",158226.2,"2022-12-13",27,,,,"USD"
"Community Relations (IC)","IC4","North America",210000,"2023-12-05",54,116800,146000,175200,"USD"
"Product Marketer","IC4","North America",184620,"2023-03-21",35,,,,"USD"
"Product Manager (IC)","IC4","North America",210000,"2023-02-22",9,176000,220000,264000,"USD"
"Product Design (IC)","IC4","Europe",122549,"2023-03-21",29,73600,92000,110400,"EUR"
"Technical Writer","IC4","Europe",97000,"2023-02-22",0,,,,"EUR"
"Security Engineer","IC4","North America",370400,"2023-04-18",57,,,,"USD"
"Marketing, Director","M6","North America",325000,"2022-10-25",0,,,,"USD"
"Marketing General, Manager","M5","North America",276312.75,"2022-10-12",0,,,,"USD"
"Marketing General, Manager","M5","North America",275000,"2022-11-08",0,,,,"USD"
"Software Engineer","IC5","North America",191000,"2023-03-28",39,,,,"USD"
"Account Executive","IC4","Europe",86175,"2022-09-07",,,,,"EUR"
"Business Development Representative","IC2","North America",52000,"2022-08-17",,,,,"USD"
"Sales Ops","IC3","Europe",141692.35,"2022-10-18",,,,,"EUR"
"Sales Ops","IC2","Europe",62590,"2022-09-07",,,,,"EUR"
"Accountant","IC4","North America",132000,"2022-09-07",,,,,"USD"
"UX Researcher","IC3","North America",169533,"2023-02-22",,,,,"USD"
"Product Manager","IC4","Europe",114633,"2022-09-27",,,,,"EUR"
"Software Engineer","IC1","North America",178313,"2023-07-11",0,,,,"USD"
"Software Engineer","IC1","North America",162740,"2023-07-25",0,,,,"USD"
"Financial Analyst","IC2","North America",83000,"2023-07-11",0,,,,"USD"
"Customer Success","IC3","Europe",160000,"2021-11-02",0,,,,"EUR"
,"IC1","North America",86000,"2022-09-20",0,,,,"USD"
"Software Engineer","IC5","Europe",131000,"2023-01-10",1,,,,"EUR"
"Business Development Representative","IC2","North America",64400,"2022-09-13",0,51541,64426,77311,"USD"
"Executive Admin","IC3","North America",149226,"2022-10-20",0,,,,"USD"
,"IC3","Europe",80000,"2023-05-03",42,,,,"EUR"
"Solutions Engineering (IC)","IC4","Europe",685230.75,"2023-07-11",19,0,129750,0,"EUR"
"Solutions Engineer","IC4","North America",229875,"2023-06-27",27,,,,"USD"
"Solutions Engineer","IC2","North America",175950,"2023-04-03",14,,,,"USD"
"Solutions Engineer","IC4","Australia",324000,"2023-07-25",126,,,,"AUD"
"AE Enterprise","IC4","Europe",13500000,"2023-09-20",57,86000,107500,129000,"EUR"
"Director, Sales","M6","North America",198000,"2023-01-31",0,,,,"USD"
"Manager, Sales","M4","North America",142500,"2023-05-01",16,,,,"USD"
"Channel Sales (IC)","IC3","North America",183600,"2023-03-21",28,94458,118072,141687,"USD"
"Business Development Representative","IC2","Europe",67826.88,"2023-01-04",0,51541,64426,77311,"EUR"
"Business Development Representative","IC2","Europe",86400,"2022-11-08",0,51541,64426,77311,"EUR"
"Business Development Representative","IC2","Europe",51100,"2023-01-31",58,51541,64426,77311,"EUR"
"Business Development Representative","IC2","Australia",108675,"2023-01-18",3,70028,87535,105042,"AUD"
"Account Executive","IC3","Europe",84000,"2022-11-15",0,,,,"EUR"
"Account Executive","IC3","Australia",89000,"2023-01-10",0,,,,"AUD"
"Account Executive","IC3","Europe",140000,"2022-12-06",0,,,,"EUR"
"Account Executive","IC3","North America",150000,"2022-12-13",0,,,,"USD"
"HR Generalist","IC3","Europe",107112,"2022-12-06",0,,,,"EUR"
"HR Generalist","IC3","North America",76735,"2022-09-20",0,,,,"USD"
"Software Engineer (IC)","IC5","Europe",88012.61,"2023-03-21",11,108800,136000,163200,"EUR"
"Software Engineer (IC)","IC5","Europe",123160.5,"2023-03-29",,108800,136000,163200,"EUR"
"Director, Engineering","M7","North America",280000,"2023-05-16",56,,,,"USD"
"Ops Assistant (IC)","IC2","North America",90000,"2026-03-03",50,58800,84000,100800,"USD"
"Business Systems Analyst","IC3","North America",119000,"2022-12-13",0,,,,"USD"
"Customer Success","IC4","North America",159000,"2023-01-24",1,,,,"USD"
"Customer Success","IC4","North America",185000,"2023-01-10",43,,,,"USD"
"Business Systems Analyst","IC4","North America",175000,"2023-02-07",86,,,,"USD"
"Account Executive","IC3","North America",88100,"2022-10-12",40,,,,"USD"
"Account Executive","IC3","Europe",100800,"2022-10-12",,,,,"EUR"
"Recruiter","IC3","North America",,"2023-02-21",2,,,,"USD"
"Recruiter","IC3","North America",190000,"2023-05-31",0,,,,"USD"
"Manager, Sales","M4","North America",216000,"2023-02-07",90,,,,"USD"
"Account Executive","IC3","Europe",120000,"2026-01-07",57,,,,"EUR"
"Account Executive","IC3","North America",150000,"2022-09-20",0,,,,"USD"
"Account Executive","IC3","North America",150000,"2022-09-27",39,,,,"USD"
"Account Executive","IC3","North America",131500,"2022-10-12",40,,,,"USD"
"Tech Account Manager","IC3","North America",118500,"2022-02-15",,,,,"USD"
"Tech Account Manager","IC3","Europe",111900,"2022-12-13",15,,,,"EUR"
"Tech Account Manager","IC3","North America",114000,"2023-10-23",0,,,,"USD"
"Account Executive","IC4","North America",142500,"2022-09-07",0,,,,"USD"
"Support Engineer","IC3","North America",134160,"2023-02-22",14,,,,"USD"
"Support Engineer","IC5","North America",172975,"2023-01-04",0,,,,"USD"
"Support Engineer","IC3","North America",122580,"2023-02-22",13,,,,"USD"
"Manager, Support Engineer","M3","North America",278191.2,"2023-02-22",0,,,,"USD"
"Business Systems Analyst","IC4","North America",135000,"2023-01-04",0,,,,"USD"
"Customer Success","IC4","Europe",196992,"2023-05-23",42,,,,"EUR"
"Customer Success","IC4","North America",176500,"2023-03-14",0,,,,"USD"
"IT Specialist","IC2","Europe",88950.58,"2023-01-04",85,,,,"EUR"
"Account Executive","IC3","Europe",114778.31,"2022-09-27",0,,,,"EUR"
"Account Executive","IC3","Europe",108000,"2022-09-07",0,,,,"EUR"
"Account Executive","IC3","North America",176728.13,"2022-08-23",0,,,,"USD"
"Software Engineer","IC5","Europe",113526,"2022-11-29",0,,,,"EUR"
"Designer","IC4","North America",219018.52,"2022-11-29",101,,,,"USD"
"Business Development Representative","IC1","North America",65000,"2022-07-12",1,,,,"USD"
"Business Development Representative","IC2","North America",64400,"2022-08-02",0,,,,"USD"
"Director, Sales","M6","North America",198550.43,"2022-09-07",0,,,,"USD"
"Software Engineer","IC3","Europe",104000,"2022-06-14",0,,,,"EUR"
"Software Engineer","IC3","EU, EU",98800,"2022-08-02",0,63000,74000,85000,"EUR"
"Software Engineer","IC3","Europe",90000,"2023-01-04",0,,,,"EUR"
"Director, IT","M6","North America",280628.7,"2022-11-08",0,,,,"USD"
"HR Manager","M4","North America",135000,"2023-03-14",13,,,,"USD"
"Recruiter","IC5","North America",237930,"2021-03-15",0,,,,"USD"
"Manager, Customer Success","M7","North America",413750,"2022-06-22",0,,,,"USD"
"Account Executive","IC4","North America",75000,"2022-08-09",0,,,,"USD"
"Manager, Sales","M3","Europe",201096,"2022-08-23",0,,,,"EUR"
"Manager, Sales","M3","North America",166554.22,"2021-09-21",0,,,,"USD"
"Business Development Representative","IC2","North America",79500,"2022-02-15",0,,,,"USD"
"Software Engineer","IC3","Europe",243575.35,"2022-06-28",0,,,,"EUR"
"Support Engineer","IC4","North America",192780,"2022-02-23",,,,,"USD"
"UX Researcher","IC4","North America",190000,"2022-03-22",0,,,,"USD"
"Customer Success","IC4","North America",194300,"2022-02-23",0,,,,"USD"
"Customer Success","IC3","North America",101500,"2022-03-08",0,,,,"USD"
"Channel Sales (IC)","IC5","North America",197064,"2024-06-25",23,129639,162048,194458,"USD"
"Director, Product Management","M6","Europe",193837,"2022-04-12",0,,,,"EUR"
,"E1","North America",400000,"2022-05-02",0,,,,"USD"
"Director, Product Management","M6","Europe",410000,"2022-03-15",0,,,,"EUR"
"Designer","IC4","Europe",120900,"2022-03-01",0,,,,"EUR"
"HR Generalist","IC3","North America",232000,"2022-03-15",0,,,,"USD"
"Product Marketer","IC4","Europe",112000,"2022-03-01",0,,,,"EUR"
"Manager, Sales","M5","North America",205600,"2022-02-03",0,,,,"USD"
,"IC5","North America",2877600,"2022-03-21",0,,,,"USD"
"Business Systems Analyst","IC3","North America",151110,"2022-02-15",0,,,,"USD"
,,"North America",322400,"2022-09-13",0,,,,"USD"
"Deal Desk","IC3","North America",215550,"2022-03-21",0,,,,"USD"
"Software Engineer","IC3","EU, EU",130000,"2026-02-24",0,63000,74000,85000,"EUR"
"Software Engineer","IC4","US, US",504776.77,"2022-04-19",0,179000,210000,242000,"USD"
"Software Engineer","IC4","EU, EU",110750,"2022-04-05",0,74000,87000,100000,"EUR"
"Software Engineer","IC4","US, US",99189,"2022-04-19",0,179000,210000,242000,"USD"
"Software Engineer","IC6","North America",236000,"2022-06-01",0,,,,"USD"
"Manager, Engineering","M3","North America",290666,"2022-04-19",0,,,,"USD"
"Manager, Engineering","M4","Europe",116667,"2023-01-31",109,,,,"EUR"
"Software Engineer (IC)","IC5","Europe",134000,"2023-02-07",132,108800,136000,163200,"EUR"
"Software Engineer","IC4","Europe",120000,"2022-06-01",0,,,,"EUR"
"Manager, Engineering","M3","Europe",80000,"2022-04-05",0,,,,"EUR"
"Software Engineer","IC4","Europe",105000,"2022-06-28",0,,,,"EUR"
"Software Engineer","IC4","Europe",479148,"2022-05-11",0,,,,"EUR"
"Software Engineer","IC4","North America",,"2022-01-25",0,,,,"USD"
"Solutions Architect","IC4","North America",195000,"2022-02-23",0,,,,"USD"
"Support Engineer","IC4","North America",100656,"2022-02-01",0,,,,"USD"
"Support Engineer","IC4","North America",186300,"2022-02-23",0,,,,"USD"
"Support Engineer","IC4","Europe",81545.25,"2022-05-03",0,,,,"EUR"
"VP, People","E1","North America",325000,"2022-06-22",0,,,,"USD"
"Lawyer","IC6","North America",369786,"2022-09-27",0,,,,"USD"
"Manager, Customer Success","M6","Europe",,"2022-03-21",0,,,,"EUR"
"Manager, Customer Success","M5","North America",176500,"2022-09-13",0,,,,"USD"
"Support Engineer","IC3","North America",204782.04,"2022-09-13",0,,,,"USD"
"Support Engineer","IC3","North America",218840.4,"2022-10-18",36,,,,"USD"
,"M5","North America",309000,"2023-01-04",0,,,,"USD"
"Product Manager","IC5","Europe",148000,"2022-04-12",0,,,,"EUR"
"Data Analyst","IC4","North America",190000,"2023-02-14",0,,,,"USD"
"Product Manager (IC)","IC5","Europe",115186.96,"2023-10-03",231,84000,105000,126000,"EUR"
"Product Manager","IC4","North America",234840,"2022-06-07",,,,,"USD"
"Product Manager","IC5","Europe",107800,"2022-10-18",0,,,,"EUR"
"Data Analyst","IC3","North America",312000,"2022-08-09",0,,,,"USD"
"Product Manager","IC4","North America",172425,"2021-10-20",0,,,,"USD"
"Software Engineer","IC3","Europe",84800,"2022-05-03",0,,,,"EUR"
"Product Manager","IC3","Europe",873757.44,"2022-05-18",,,,,"EUR"
"Product Manager","IC3","North America",140000,"2022-03-01",0,,,,"USD"
"Product Manager (IC)","IC3","Europe",106090,"2023-09-06",107,69600,87000,104400,"EUR"
"Manager, Design","M5","Europe",110440,"2021-07-07",,,,,"EUR"
"Manager, Design","M5","North America",308227.5,"2022-08-02",0,,,,"USD"
,"IC5","Europe",150000,"2023-01-31",,,,,"EUR"
"Product Manager (IC)","IC4","North America",105060,"2023-11-07",60,176000,220000,264000,"USD"
"UX Researcher","IC3","Europe",85243,"2023-01-04",0,,,,"EUR"
"Designer","IC4","Europe",92000,"2022-07-06",0,,,,"EUR"
"Technical Writer","IC4","Europe",88845.09,"2022-03-29",0,,,,"EUR"
"Technical Writer","IC3","Europe",1341000,"2025-10-21",0,,,,"EUR"
"Designer","IC5","Europe",122430,"2022-11-29",0,,,,"EUR"
"UX Researcher","IC4","Europe",94000,"2022-12-06",0,,,,"EUR"
"Technical Writer","IC3","Europe",65000,"2022-04-12",0,,,,"EUR"
"Technical Writer","IC3","North America",155645.06,"2022-04-12",,,,,"USD"
"Designer","IC4","Europe",115721,"2023-01-24",,,,,"EUR"
"Designer","IC3","Europe",80000,"2022-05-03",0,,,,"EUR"
"Designer","IC3","North America",136000,"2022-12-13",0,,,,"USD"
"Manager, Engineering","M5","United Kingdom, United Kingdom",123600,"2022-01-11",0,94000,111000,128000,"GBP"
"Software Engineer","IC3","EU, EU",138600,"2022-04-05",0,63000,74000,85000,"EUR"
"Software Engineer","IC2","EU, EU",99745,"2022-09-13",0,47000,55000,63000,"EUR"
"Software Engineer","IC2","EU, EU",660400,"2022-07-26",0,47000,55000,63000,"EUR"
"Manager, Engineering","M4","North America",230000,"2022-05-18",0,,,,"USD"
"Manager, Engineering","M3","North America",301661.25,"2022-03-22",0,,,,"USD"
"Software Engineer","IC5","North America",277000,"2022-02-23",0,,,,"USD"
"Software Engineer","IC4","North America",219037.5,"2022-07-19",22,,,,"USD"
"Software Engineer","IC3","North America",140000,"2022-04-12",0,,,,"USD"
"Software Engineer","IC3","North America",160000,"2022-04-19",0,,,,"USD"
"Software Engineer (IC)","IC3","North America",229260,"2023-04-12",65,144000,180000,216000,"USD"
"Software Engineer","IC3","North America",297544,"2022-08-02",0,,,,"USD"
"Software Engineer","IC3","North America",215525,"2022-04-26",0,,,,"USD"
"Software Engineer","IC4","North America",177855,"2022-11-15",0,,,,"USD"
"Software Engineer","IC3","Europe",104072.57,"2022-05-18",0,,,,"EUR"
"Software Engineer","IC4","North America",235351,"2022-11-01",74,,,,"USD"
"Software Engineer","IC3","North America",192102,"2022-05-03",,,,,"USD"
"Software Engineer","IC3","North America",174264,"2022-05-11",0,,,,"USD"
"Software Engineer","IC3","North America",268648.7,"2022-03-08",0,,,,"USD"
"Software Engineer","IC3","North America",217224,"2022-03-29",0,,,,"USD"
"Software Engineer","IC3","Europe",1480546,"2022-03-08",0,,,,"EUR"
"Software Engineer","IC2","North America",180000,"2022-03-22",0,,,,"USD"
"Software Engineer","IC2","North America",2790000,"2022-04-19",0,,,,"USD"
"Software Engineer","IC3","Europe",117019.5,"2022-05-18",0,,,,"EUR"
"Software Engineer","IC3","Europe",155640,"2022-03-22",0,,,,"EUR"
"Software Engineer","IC3","Europe",103222.53,"2022-01-19",0,,,,"EUR"
"Software Engineer (IC)","IC2","Europe",114084,"2023-03-14",22,64800,81000,97200,"EUR"
"Software Engineer","IC4","Europe",106500,"2022-03-29",0,,,,"EUR"
"Software Engineer","IC2","Europe",119802,"2022-07-06",0,,,,"EUR"
"Software Engineer","IC3","North America",181300,"2022-06-22",0,,,,"USD"
"Data Engineer","IC4","Europe",91814.2,"2023-01-04",92,,,,"EUR"
"Manager, Engineering","M3","Europe",142145.41,"2022-09-27",0,,,,"EUR"
"Manager, Engineering","M3","Europe",184395.75,"2022-07-06",0,,,,"EUR"
"Software Engineer","IC4","Europe",115000,"2022-03-01",0,,,,"EUR"
"Software Engineer","IC2","Europe",130416,"2022-02-15",0,,,,"EUR"
"Manager, Engineering","M4","North America",225680,"2023-04-04",46,,,,"USD"
"Software Engineer","IC3","Europe",111500,"2022-06-14",0,,,,"EUR"
"Software Engineer","IC3","North America",144000,"2022-02-23",0,,,,"USD"
"Data Engineer, BizOps","IC3","North America",191807,"2022-10-12",110,,,,"USD"
,"IC3","North America",242000,"2023-01-24",0,,,,"USD"
,"IC4","North America",220000,"2023-01-10",0,,,,"USD"
"Data Engineer, BizOps","IC3","North America",210080,"2022-06-14",0,,,,"USD"
"Project Manager","IC4","North America",191450,"2024-11-05",0,,,,"USD"
"Business Systems Analyst","IC3","North America",127500,"2022-02-15",0,,,,"USD"
"Business Systems Analyst","IC3","North America",120000,"2022-04-26",0,,,,"USD"
"Manager, Business Systems","M4","North America",311875,"2022-08-23",0,,,,"USD"
,,"Europe",0,"2025-02-03",33,,,,"EUR"
"IT Specialist","IC2","North America",136400,"2022-04-12",0,,,,"USD"
"IT Specialist","IC2","North America",77000,"2022-05-24",0,,,,"USD"
"Financial Analyst","IC4","North America",172100,"2023-02-14",1,,,,"USD"
"Financial Analyst","IC3","North America",220500,"2022-08-09",0,,,,"USD"
"Financial Analyst","IC4","North America",140000,"2022-03-08",0,,,,"USD"
,"M4","North America",160000,"2023-03-14",24,,,,"USD"
"Accounting, Manager","M4","North America",206972.2,"2023-07-11",76,,,,"USD"
"Accountant","IC4","North America",131250,"2022-03-08",0,,,,"USD"
"Recruiter","IC4","North America",160500,"2022-08-23",0,,,,"USD"
"HR Generalist","IC3","North America",198000,"2022-11-08",0,,,,"USD"
"Recruiter","IC3","North America",131000,"2022-02-15",0,,,,"USD"
"Growth Marketer","IC3","North America",150000,"2022-03-22",0,,,,"USD"
"Growth Marketer","IC4","North America",159184,"2022-05-24",0,,,,"USD"
"Product Marketer","IC3","North America",180000,"2022-03-08",0,,,,"USD"
"Growth Marketer","IC4","North America",179192,"2022-06-14",0,,,,"USD"
"Growth Marketer","IC4","North America",190000,"2022-06-22",0,,,,"USD"
"Marketing, Technical Writer II","IC3","North America",115000,"2022-03-22",0,,,,"USD"
"Video Production","IC2","North America",150000,"2022-03-29",0,,,,"USD"
"Product Marketer","IC4","North America",160000,"2022-04-05",0,,,,"USD"
"Product Marketer","IC4","North America",185000,"2022-04-12",0,,,,"USD"
,"IC4","North America",198400,"2023-02-07",0,,,,"USD"
"Marketer, Customer Success","IC5","US, US",177900,"2022-04-05",0,157250,185000,212750,"USD"
"Data Engineer, Marketing Ops","IC5","US, US",190000,"2022-06-22",0,157250,185000,212750,"USD"
"Developer Relations","IC3","Europe",79980,"2021-07-07",0,,,,"EUR"
"Developer Relations, Engineering Manager","M7","Europe",250800,"2023-01-04",0,,,,"EUR"
,"IC2","North America",170000,"2023-01-10",0,,,,"USD"
"Sales Ops","IC3","North America",105000,"2021-08-31",,,,,"USD"
"Account Executive","IC3","North America",165000,"2022-09-27",0,,,,"USD"
"Account Executive","IC4","Europe",110250,"2022-10-18",0,,,,"EUR"
"Business Development Representative","IC2","North America",98560,"2022-03-29",0,,,,"USD"
"Business Development Representative","IC2","North America",108500,"2022-04-12",0,,,,"USD"
"Business Development Representative","IC2","North America",50000,"2022-04-12",0,,,,"USD"
"Business Development Representative","IC2","North America",117940,"2022-01-11",0,,,,"USD"
"Business Development Representative","IC2","North America",57000,"2022-02-01",0,,,,"USD"
"Business Development Representative","IC2","Europe",55000,"2022-05-11",0,,,,"EUR"
"Business Development Representative","IC2","North America",64400,"2022-01-25",0,,,,"USD"
"Account Executive","IC3","North America",93000,"2021-12-21",,,,,"USD"
"Account Executive","IC3","Europe",100800,"2022-04-19",0,,,,"EUR"
"Account Executive","IC3","North America",52500,"2022-02-15",0,,,,"USD"
"Account Executive","IC3","Europe",120000,"2022-03-18",0,,,,"EUR"
"Account Executive","IC3","North America",108500,"2021-05-03",0,,,,"USD"
"Account Executive","IC3","Europe",81758.16,"2022-05-11",0,,,,"EUR"
"Technical Account Manager","IC5","North America",170721,"2022-02-08",0,,,,"USD"
"Support Engineer","IC4","Europe",113802.1,"2022-08-02",0,,,,"EUR"
"Manager, Support Engineer","M4","Europe",108008.8,"2022-08-02",0,,,,"EUR"
,,"North America",264468.75,"2023-04-12",52,,,,"USD"
"Support Engineer","IC4","Europe",405816,"2023-03-07",7,,,,"EUR"
"Support Engineer","IC4","Europe",950567.9,"2023-01-04",0,,,,"EUR"
"Customer Success","IC4","North America",178000,"2022-10-12",0,,,,"USD"
"Customer Success","IC4","Europe",145000,"2022-09-27",0,,,,"EUR"
"Customer Success","IC4","North America",250000,"2023-01-24",0,,,,"USD"
"Customer Success","IC3","North America",163500,"2022-05-03",0,,,,"USD"
"Customer Success","IC3","North America",170000,"2022-03-08",0,,,,"USD"
"Customer Success Manager","IC4","North America",107772.38,"2021-10-05",53,,,,"USD"
